,FIPS,year,state,state_po,county,candidatevotes,candidate,party,totalvotes,state_po
1,1001.0,2008,Alabama,AL,Autauga,17403.0,John McCain,republican,23641,AL
4,1003.0,2008,Alabama,AL,Baldwin,61271.0,John McCain,republican,81413,AL
7,1005.0,2008,Alabama,AL,Barbour,5866.0,John McCain,republican,11630,AL
10,1007.0,2008,Alabama,AL,Bibb,6262.0,John McCain,republican,8644,AL
13,1009.0,2008,Alabama,AL,Blount,20389.0,John McCain,republican,24267,AL
15,1011.0,2008,Alabama,AL,Bullock,4011.0,Barack Obama,democrat,5415,AL
19,1013.0,2008,Alabama,AL,Butler,5485.0,John McCain,republican,9709,AL
22,1015.0,2008,Alabama,AL,Calhoun,32348.0,John McCain,republican,49242,AL
25,1017.0,2008,Alabama,AL,Chambers,8067.0,John McCain,republican,14956,AL
28,1019.0,2008,Alabama,AL,Cherokee,7298.0,John McCain,republican,9745,AL
31,1021.0,2008,Alabama,AL,Chilton,13960.0,John McCain,republican,17785,AL
34,1023.0,2008,Alabama,AL,Choctaw,4223.0,John McCain,republican,7894,AL
37,1025.0,2008,Alabama,AL,Clarke,7466.0,John McCain,republican,13435,AL
40,1027.0,2008,Alabama,AL,Clay,4984.0,John McCain,republican,6819,AL
43,1029.0,2008,Alabama,AL,Cleburne,5216.0,John McCain,republican,6492,AL
46,1031.0,2008,Alabama,AL,Coffee,14919.0,John McCain,republican,20128,AL
49,1033.0,2008,Alabama,AL,Colbert,14739.0,John McCain,republican,24843,AL
52,1035.0,2008,Alabama,AL,Conecuh,3470.0,John McCain,republican,6943,AL
55,1037.0,2008,Alabama,AL,Coosa,3248.0,John McCain,republican,5563,AL
58,1039.0,2008,Alabama,AL,Covington,12444.0,John McCain,republican,15787,AL
61,1041.0,2008,Alabama,AL,Crenshaw,4319.0,John McCain,republican,6291,AL
64,1043.0,2008,Alabama,AL,Cullman,28896.0,John McCain,republican,35305,AL
67,1045.0,2008,Alabama,AL,Dale,13886.0,John McCain,republican,19320,AL
69,1047.0,2008,Alabama,AL,Dallas,13986.0,Barack Obama,democrat,20852,AL
73,1049.0,2008,Alabama,AL,DeKalb,17957.0,John McCain,republican,24015,AL
76,1051.0,2008,Alabama,AL,Elmore,25777.0,John McCain,republican,34315,AL
79,1053.0,2008,Alabama,AL,Escambia,9375.0,John McCain,republican,14674,AL
82,1055.0,2008,Alabama,AL,Etowah,30595.0,John McCain,republican,44737,AL
85,1057.0,2008,Alabama,AL,Fayette,5883.0,John McCain,republican,7957,AL
88,1059.0,2008,Alabama,AL,Franklin,8048.0,John McCain,republican,11693,AL
91,1061.0,2008,Alabama,AL,Geneva,9417.0,John McCain,republican,11657,AL
93,1063.0,2008,Alabama,AL,Greene,4408.0,Barack Obama,democrat,5305,AL
96,1065.0,2008,Alabama,AL,Hale,4982.0,Barack Obama,democrat,8214,AL
100,1067.0,2008,Alabama,AL,Henry,5585.0,John McCain,republican,8648,AL
103,1069.0,2008,Alabama,AL,Houston,29254.0,John McCain,republican,41735,AL
106,1071.0,2008,Alabama,AL,Jackson,14083.0,John McCain,republican,20874,AL
108,1073.0,2008,Alabama,AL,Jefferson,166121.0,Barack Obama,democrat,318524,AL
112,1075.0,2008,Alabama,AL,Lamar,5419.0,John McCain,republican,7075,AL
115,1077.0,2008,Alabama,AL,Lauderdale,24068.0,John McCain,republican,38104,AL
118,1079.0,2008,Alabama,AL,Lawrence,9277.0,John McCain,republican,14680,AL
121,1081.0,2008,Alabama,AL,Lee,32230.0,John McCain,republican,54325,AL
124,1083.0,2008,Alabama,AL,Limestone,23598.0,John McCain,republican,33551,AL
126,1085.0,2008,Alabama,AL,Lowndes,5449.0,Barack Obama,democrat,7278,AL
129,1087.0,2008,Alabama,AL,Macon,9450.0,Barack Obama,democrat,10877,AL
133,1089.0,2008,Alabama,AL,Madison,86965.0,John McCain,republican,152899,AL
135,1091.0,2008,Alabama,AL,Marengo,5926.0,Barack Obama,democrat,11471,AL
139,1093.0,2008,Alabama,AL,Marion,9536.0,John McCain,republican,12355,AL
142,1095.0,2008,Alabama,AL,Marshall,25727.0,John McCain,republican,33166,AL
145,1097.0,2008,Alabama,AL,Mobile,98049.0,John McCain,republican,181424,AL
148,1099.0,2008,Alabama,AL,Monroe,6175.0,John McCain,republican,11252,AL
150,1101.0,2008,Alabama,AL,Montgomery,62166.0,Barack Obama,democrat,104743,AL
154,1103.0,2008,Alabama,AL,Morgan,36014.0,John McCain,republican,50542,AL
156,1105.0,2008,Alabama,AL,Perry,4457.0,Barack Obama,democrat,6159,AL
160,1107.0,2008,Alabama,AL,Pickens,5434.0,John McCain,republican,10067,AL
163,1109.0,2008,Alabama,AL,Pike,8004.0,John McCain,republican,13955,AL
166,1111.0,2008,Alabama,AL,Randolph,7175.0,John McCain,republican,10384,AL
168,1113.0,2008,Alabama,AL,Russell,10085.0,Barack Obama,democrat,18915,AL
172,1115.0,2008,Alabama,AL,St. Clair,27649.0,John McCain,republican,34088,AL
175,1117.0,2008,Alabama,AL,Shelby,69060.0,John McCain,republican,90643,AL
177,1119.0,2008,Alabama,AL,Sumter,5264.0,Barack Obama,democrat,7020,AL
181,1121.0,2008,Alabama,AL,Talladega,20112.0,John McCain,republican,34204,AL
184,1123.0,2008,Alabama,AL,Tallapoosa,13116.0,John McCain,republican,19311,AL
187,1125.0,2008,Alabama,AL,Tuscaloosa,45405.0,John McCain,republican,78912,AL
190,1127.0,2008,Alabama,AL,Walker,20722.0,John McCain,republican,28652,AL
193,1129.0,2008,Alabama,AL,Washington,5654.0,John McCain,republican,8775,AL
195,1131.0,2008,Alabama,AL,Wilcox,4612.0,Barack Obama,democrat,6494,AL
199,1133.0,2008,Alabama,AL,Winston,8103.0,John McCain,republican,10031,AL
202,2001.0,2008,Alaska,AK,District 1,4149.0,John McCain,republican,6970,AK
205,2002.0,2008,Alaska,AK,District 2,4029.0,John McCain,republican,7735,AK
207,2003.0,2008,Alaska,AK,District 3,5657.0,Barack Obama,democrat,8767,AK
211,2004.0,2008,Alaska,AK,District 4,4302.0,John McCain,republican,8736,AK
214,2005.0,2008,Alaska,AK,District 5,3426.0,John McCain,republican,7123,AK
217,2006.0,2008,Alaska,AK,District 6,4234.0,John McCain,republican,6824,AK
220,2007.0,2008,Alaska,AK,District 7,6297.0,John McCain,republican,10894,AK
222,2008.0,2008,Alaska,AK,District 8,4995.0,Barack Obama,democrat,10320,AK
226,2009.0,2008,Alaska,AK,District 9,4141.0,John McCain,republican,7143,AK
229,2010.0,2008,Alaska,AK,District 10,3392.0,John McCain,republican,5615,AK
232,2011.0,2008,Alaska,AK,District 11,7736.0,John McCain,republican,9866,AK
235,2012.0,2008,Alaska,AK,District 12,5467.0,John McCain,republican,7589,AK
238,2013.0,2008,Alaska,AK,District 13,8432.0,John McCain,republican,11526,AK
241,2014.0,2008,Alaska,AK,District 14,8108.0,John McCain,republican,10456,AK
244,2015.0,2008,Alaska,AK,District 15,8227.0,John McCain,republican,11086,AK
247,2016.0,2008,Alaska,AK,District 16,7774.0,John McCain,republican,10697,AK
250,2017.0,2008,Alaska,AK,District 17,6621.0,John McCain,republican,9448,AK
253,2018.0,2008,Alaska,AK,District 18,4252.0,John McCain,republican,6411,AK
256,2019.0,2008,Alaska,AK,District 19,4106.0,John McCain,republican,7372,AK
259,2020.0,2008,Alaska,AK,District 20,2536.0,John McCain,republican,5138,AK
262,2021.0,2008,Alaska,AK,District 21,4837.0,John McCain,republican,8675,AK
264,2022.0,2008,Alaska,AK,District 22,3337.0,Barack Obama,democrat,6634,AK
267,2023.0,2008,Alaska,AK,District 23,4075.0,Barack Obama,democrat,7082,AK
271,2024.0,2008,Alaska,AK,District 24,4127.0,John McCain,republican,7688,AK
273,2025.0,2008,Alaska,AK,District 25,3233.0,Barack Obama,democrat,6443,AK
276,2026.0,2008,Alaska,AK,District 26,4472.0,Barack Obama,democrat,8695,AK
280,2027.0,2008,Alaska,AK,District 27,5159.0,John McCain,republican,8498,AK
283,2028.0,2008,Alaska,AK,District 28,5953.0,John McCain,republican,9792,AK
286,2029.0,2008,Alaska,AK,District 29,4127.0,John McCain,republican,6962,AK
289,2030.0,2008,Alaska,AK,District 30,5500.0,John McCain,republican,9183,AK
292,2031.0,2008,Alaska,AK,District 31,6419.0,John McCain,republican,10220,AK
295,2032.0,2008,Alaska,AK,District 32,6867.0,John McCain,republican,12307,AK
298,2033.0,2008,Alaska,AK,District 33,6571.0,John McCain,republican,8909,AK
301,2034.0,2008,Alaska,AK,District 34,7358.0,John McCain,republican,9548,AK
304,2035.0,2008,Alaska,AK,District 35,4959.0,John McCain,republican,9503,AK
307,2036.0,2008,Alaska,AK,District 36,4201.0,John McCain,republican,6673,AK
310,2037.0,2008,Alaska,AK,District 37,2661.0,John McCain,republican,4665,AK
312,2038.0,2008,Alaska,AK,District 38,2549.0,Barack Obama,democrat,4820,AK
315,2039.0,2008,Alaska,AK,District 39,2695.0,Barack Obama,democrat,5184,AK
319,2040.0,2008,Alaska,AK,District 40,2686.0,John McCain,republican,5000,AK
324,4001.0,2008,Arizona,AZ,Apache,15390.0,Barack Obama,democrat,24262,AZ
328,4003.0,2008,Arizona,AZ,Cochise,29026.0,John McCain,republican,48820,AZ
330,4005.0,2008,Arizona,AZ,Coconino,31433.0,Barack Obama,democrat,54344,AZ
334,4007.0,2008,Arizona,AZ,Gila,14095.0,John McCain,republican,22333,AZ
337,4009.0,2008,Arizona,AZ,Graham,8376.0,John McCain,republican,12007,AZ
340,4011.0,2008,Arizona,AZ,Greenlee,1712.0,John McCain,republican,2913,AZ
343,4012.0,2008,Arizona,AZ,La Paz,3509.0,John McCain,republican,5552,AZ
346,4013.0,2008,Arizona,AZ,Maricopa,746448.0,John McCain,republican,1364962,AZ
349,4015.0,2008,Arizona,AZ,Mohave,44333.0,John McCain,republican,67605,AZ
352,4017.0,2008,Arizona,AZ,Navajo,19761.0,John McCain,republican,35800,AZ
354,4019.0,2008,Arizona,AZ,Pima,206254.0,Barack Obama,democrat,393428,AZ
358,4021.0,2008,Arizona,AZ,Pinal,59421.0,John McCain,republican,104883,AZ
360,4023.0,2008,Arizona,AZ,Santa Cruz,8683.0,Barack Obama,democrat,13303,AZ
364,4025.0,2008,Arizona,AZ,Yavapai,61192.0,John McCain,republican,99648,AZ
367,4027.0,2008,Arizona,AZ,Yuma,24577.0,John McCain,republican,43615,AZ
370,5001.0,2008,Arkansas,AR,Arkansas,4185.0,John McCain,republican,6978,AR
373,5003.0,2008,Arkansas,AR,Ashley,5406.0,John McCain,republican,8642,AR
376,5005.0,2008,Arkansas,AR,Baxter,12852.0,John McCain,republican,19981,AR
379,5007.0,2008,Arkansas,AR,Benton,51124.0,John McCain,republican,76073,AR
382,5009.0,2008,Arkansas,AR,Boone,10575.0,John McCain,republican,15474,AR
385,5011.0,2008,Arkansas,AR,Bradley,2262.0,John McCain,republican,4041,AR
388,5013.0,2008,Arkansas,AR,Calhoun,1462.0,John McCain,republican,2217,AR
391,5015.0,2008,Arkansas,AR,Carroll,6083.0,John McCain,republican,10579,AR
393,5017.0,2008,Arkansas,AR,Chicot,3043.0,Barack Obama,democrat,5208,AR
397,5019.0,2008,Arkansas,AR,Clark,4608.0,John McCain,republican,9094,AR
400,5021.0,2008,Arkansas,AR,Clay,3032.0,John McCain,republican,5511,AR
403,5023.0,2008,Arkansas,AR,Cleburne,7962.0,John McCain,republican,11338,AR
406,5025.0,2008,Arkansas,AR,Cleveland,2451.0,John McCain,republican,3505,AR
409,5027.0,2008,Arkansas,AR,Columbia,5861.0,John McCain,republican,9558,AR
412,5029.0,2008,Arkansas,AR,Conway,4691.0,John McCain,republican,8138,AR
415,5031.0,2008,Arkansas,AR,Craighead,18881.0,John McCain,republican,30968,AR
418,5033.0,2008,Arkansas,AR,Crawford,14688.0,John McCain,republican,20532,AR
420,5035.0,2008,Arkansas,AR,Crittenden,10330.0,Barack Obama,democrat,18255,AR
424,5037.0,2008,Arkansas,AR,Cross,4393.0,John McCain,republican,7130,AR
427,5039.0,2008,Arkansas,AR,Dallas,1757.0,John McCain,republican,3318,AR
429,5041.0,2008,Arkansas,AR,Desha,2569.0,Barack Obama,democrat,4678,AR
433,5043.0,2008,Arkansas,AR,Drew,3860.0,John McCain,republican,6610,AR
436,5045.0,2008,Arkansas,AR,Faulkner,25362.0,John McCain,republican,41179,AR
439,5047.0,2008,Arkansas,AR,Franklin,4411.0,John McCain,republican,6475,AR
442,5049.0,2008,Arkansas,AR,Fulton,2702.0,John McCain,republican,4676,AR
445,5051.0,2008,Arkansas,AR,Garland,26825.0,John McCain,republican,43719,AR
448,5053.0,2008,Arkansas,AR,Grant,5023.0,John McCain,republican,6793,AR
451,5055.0,2008,Arkansas,AR,Greene,8578.0,John McCain,republican,13612,AR
454,5057.0,2008,Arkansas,AR,Hempstead,4273.0,John McCain,republican,7349,AR
457,5059.0,2008,Arkansas,AR,Hot Spring,7209.0,John McCain,republican,11955,AR
460,5061.0,2008,Arkansas,AR,Howard,2957.0,John McCain,republican,4846,AR
463,5063.0,2008,Arkansas,AR,Independence,8255.0,John McCain,republican,12299,AR
466,5065.0,2008,Arkansas,AR,Izard,3193.0,John McCain,republican,5218,AR
469,5067.0,2008,Arkansas,AR,Jackson,3118.0,John McCain,republican,5582,AR
471,5069.0,2008,Arkansas,AR,Jefferson,18465.0,Barack Obama,democrat,29689,AR
475,5071.0,2008,Arkansas,AR,Johnson,4922.0,John McCain,republican,8180,AR
478,5073.0,2008,Arkansas,AR,Lafayette,1685.0,John McCain,republican,2902,AR
481,5075.0,2008,Arkansas,AR,Lawrence,3357.0,John McCain,republican,5830,AR
483,5077.0,2008,Arkansas,AR,Lee,2263.0,Barack Obama,democrat,3763,AR
487,5079.0,2008,Arkansas,AR,Lincoln,2513.0,John McCain,republican,4406,AR
490,5081.0,2008,Arkansas,AR,Little River,3247.0,John McCain,republican,5152,AR
493,5083.0,2008,Arkansas,AR,Logan,5350.0,John McCain,republican,7907,AR
496,5085.0,2008,Arkansas,AR,Lonoke,17242.0,John McCain,republican,23741,AR
499,5087.0,2008,Arkansas,AR,Madison,3972.0,John McCain,republican,6328,AR
502,5089.0,2008,Arkansas,AR,Marion,4524.0,John McCain,republican,7162,AR
505,5091.0,2008,Arkansas,AR,Miller,9913.0,John McCain,republican,15063,AR
508,5093.0,2008,Arkansas,AR,Mississippi,6976.0,John McCain,republican,14010,AR
511,5095.0,2008,Arkansas,AR,Monroe,1754.0,John McCain,republican,3449,AR
514,5097.0,2008,Arkansas,AR,Montgomery,2365.0,John McCain,republican,3622,AR
517,5099.0,2008,Arkansas,AR,Nevada,2062.0,John McCain,republican,3635,AR
520,5101.0,2008,Arkansas,AR,Newton,2588.0,John McCain,republican,3960,AR
523,5103.0,2008,Arkansas,AR,Ouachita,5427.0,John McCain,republican,9960,AR
526,5105.0,2008,Arkansas,AR,Perry,2743.0,John McCain,republican,4279,AR
528,5107.0,2008,Arkansas,AR,Phillips,5695.0,Barack Obama,democrat,8969,AR
532,5109.0,2008,Arkansas,AR,Pike,2727.0,John McCain,republican,3966,AR
535,5111.0,2008,Arkansas,AR,Poinsett,4903.0,John McCain,republican,7928,AR
538,5113.0,2008,Arkansas,AR,Polk,5473.0,John McCain,republican,7681,AR
541,5115.0,2008,Arkansas,AR,Pope,15568.0,John McCain,republican,22079,AR
544,5117.0,2008,Arkansas,AR,Prairie,2223.0,John McCain,republican,3381,AR
546,5119.0,2008,Arkansas,AR,Pulaski,88854.0,Barack Obama,democrat,161343,AR
550,5121.0,2008,Arkansas,AR,Randolph,3615.0,John McCain,republican,6319,AR
552,5123.0,2008,Arkansas,AR,St. Francis,5486.0,Barack Obama,democrat,9505,AR
556,5125.0,2008,Arkansas,AR,Saline,30981.0,John McCain,republican,44653,AR
559,5127.0,2008,Arkansas,AR,Scott,2791.0,John McCain,republican,3995,AR
562,5129.0,2008,Arkansas,AR,Searcy,2726.0,John McCain,republican,3847,AR
565,5131.0,2008,Arkansas,AR,Sebastian,28637.0,John McCain,republican,43212,AR
568,5133.0,2008,Arkansas,AR,Sevier,3125.0,John McCain,republican,4580,AR
571,5135.0,2008,Arkansas,AR,Sharp,4535.0,John McCain,republican,7252,AR
574,5137.0,2008,Arkansas,AR,Stone,3534.0,John McCain,republican,5324,AR
577,5139.0,2008,Arkansas,AR,Union,10677.0,John McCain,republican,17179,AR
580,5141.0,2008,Arkansas,AR,Van Buren,4276.0,John McCain,republican,6703,AR
583,5143.0,2008,Arkansas,AR,Washington,37963.0,John McCain,republican,68380,AR
586,5145.0,2008,Arkansas,AR,White,19467.0,John McCain,republican,26955,AR
588,5147.0,2008,Arkansas,AR,Woodruff,1412.0,Barack Obama,democrat,2761,AR
592,5149.0,2008,Arkansas,AR,Yell,3808.0,John McCain,republican,6036,AR
594,6001.0,2008,California,CA,Alameda,489106.0,Barack Obama,democrat,621029,CA
597,6003.0,2008,California,CA,Alpine,422.0,Barack Obama,democrat,692,CA
601,6005.0,2008,California,CA,Amador,10561.0,John McCain,republican,18810,CA
603,6007.0,2008,California,CA,Butte,49013.0,Barack Obama,democrat,98325,CA
607,6009.0,2008,California,CA,Calaveras,12835.0,John McCain,republican,23306,CA
610,6011.0,2008,California,CA,Colusa,3733.0,John McCain,republican,6429,CA
612,6013.0,2008,California,CA,Contra Costa,306983.0,Barack Obama,democrat,451650,CA
616,6015.0,2008,California,CA,Del Norte,4967.0,John McCain,republican,9531,CA
619,6017.0,2008,California,CA,El Dorado,50314.0,John McCain,republican,92926,CA
621,6019.0,2008,California,CA,Fresno,136706.0,Barack Obama,democrat,272289,CA
625,6021.0,2008,California,CA,Glenn,5910.0,John McCain,republican,9879,CA
627,6023.0,2008,California,CA,Humboldt,39692.0,Barack Obama,democrat,63727,CA
630,6025.0,2008,California,CA,Imperial,24162.0,Barack Obama,democrat,38820,CA
634,6027.0,2008,California,CA,Inyo,4523.0,John McCain,republican,8533,CA
637,6029.0,2008,California,CA,Kern,134793.0,John McCain,republican,232850,CA
640,6031.0,2008,California,CA,Kings,19710.0,John McCain,republican,35108,CA
642,6033.0,2008,California,CA,Lake,14854.0,Barack Obama,democrat,25542,CA
646,6035.0,2008,California,CA,Lassen,7483.0,John McCain,republican,11387,CA
648,6037.0,2008,California,CA,Los Angeles,2295853.0,Barack Obama,democrat,3318248,CA
652,6039.0,2008,California,CA,Madera,23583.0,John McCain,republican,42355,CA
654,6041.0,2008,California,CA,Marin,109320.0,Barack Obama,democrat,140197,CA
658,6043.0,2008,California,CA,Mariposa,5298.0,John McCain,republican,9651,CA
660,6045.0,2008,California,CA,Mendocino,27843.0,Barack Obama,democrat,40016,CA
663,6047.0,2008,California,CA,Merced,34031.0,Barack Obama,democrat,63808,CA
667,6049.0,2008,California,CA,Modoc,2981.0,John McCain,republican,4420,CA
669,6051.0,2008,California,CA,Mono,3093.0,Barack Obama,democrat,5571,CA
672,6053.0,2008,California,CA,Monterey,88453.0,Barack Obama,democrat,129783,CA
675,6055.0,2008,California,CA,Napa,38849.0,Barack Obama,democrat,59642,CA
678,6057.0,2008,California,CA,Nevada,28617.0,Barack Obama,democrat,55647,CA
682,6059.0,2008,California,CA,Orange,579064.0,John McCain,republican,1153687,CA
685,6061.0,2008,California,CA,Placer,94647.0,John McCain,republican,173107,CA
688,6063.0,2008,California,CA,Plumas,6035.0,John McCain,republican,11028,CA
