cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,evprob_inc,evprob_chal,evprob_3rd,total_ev,timestamp,simulations
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.00155,.00005,,99,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.001375,.00005,,98,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.003475,.000075,,97,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.0013,.000025,,96,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.00085,.000025,,95,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.0029,.0001,,94,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.0015,0,,93,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.002125,0,,92,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.001925,0,,91,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.000925,.0001,,90,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.000225,0,,9,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.001775,.000025,,89,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.002175,0,,88,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.001025,.000075,,87,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.00175,.00005,,86,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.001325,.000025,,85,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.000825,0,,84,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.001875,.000025,,83,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.0019,0,,82,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.0009,0,,81,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.00135,.000025,,80,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.00025,0,,8,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.000825,0,,79,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.00065,0,,78,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.00145,0,,77,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.0011,0,,76,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.00115,.00005,,75,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.00095,.00005,,74,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.00065,0,,73,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.0012,.000075,,72,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.001175,0,,71,19:00:05 17 Aug 2020,40000
2020,President,polls-plus,8/17/2020,Trump,Biden,"",.00105,.00005,,70,19:00:05 17 Aug 2020,40000
