state_district,year,state,district,candidatevotes,candidate,party,totalvotes,state_po
"AK, 0",2018,Alaska,0,149779,Don Young,republican,282166,AK
"AL, 1",2018,Alabama,1,153228,Bradley Byrne,republican,242617,AL
"AL, 2",2018,Alabama,2,138879,Martha Roby,republican,226230,AL
"AL, 3",2018,Alabama,3,147770,Mike Rogers,republican,231915,AL
"AL, 4",2018,Alabama,4,184255,Robert Aderholt,republican,230969,AL
"AL, 5",2018,Alabama,5,159063,Mo Brooks,republican,260673,AL
"AL, 6",2018,Alabama,6,192542,Gary Palmer,republican,278328,AL
"AL, 7",2018,Alabama,7,185010,Terri Sewell,democrat,189163,AL
"AR, 1",2018,Arkansas,1,138757,Rick Crawford,republican,201245,AR
"AR, 2",2018,Arkansas,2,132125,French Hill,republican,253453,AR
"AR, 3",2018,Arkansas,3,148717,Steve Womack,republican,229708,AR
"AR, 4",2018,Arkansas,4,136740,Bruce Westerman,republican,204892,AR
"AZ, 1",2018,Arizona,1,143240,Tom O'Halleran,democrat,266089,AZ
"AZ, 2",2018,Arizona,2,161000,Ann Kirkpatrick,democrat,294152,AZ
"AZ, 3",2018,Arizona,3,114650,Raul Grijalva,democrat,179518,AZ
"AZ, 4",2018,Arizona,4,188842,Paul Gosar,republican,277035,AZ
"AZ, 5",2018,Arizona,5,186037,Andy Biggs,republican,313064,AZ
"AZ, 6",2018,Arizona,6,173140,David Schweikert,republican,313699,AZ
"AZ, 7",2018,Arizona,7,113044,Ruben Gallego,democrat,132051,AZ
"AZ, 8",2018,Arizona,8,168835,Debbie Lesko,republican,304417,AZ
"AZ, 9",2018,Arizona,9,159583,Greg Stanton,democrat,261245,AZ
"CA, 1",2018,California,1,160046,Doug La Malfa,republican,291594,CA
"CA, 10",2018,California,10,115945,Josh Harder,democrat,221900,CA
"CA, 11",2018,California,11,204369,Mark DeSaulnier,democrat,275681,CA
"CA, 12",2018,California,12,275292,Nancy Pelosi,democrat,317072,CA
"CA, 13",2018,California,13,260580,Barbara Lee,democrat,294837,CA
"CA, 14",2018,California,14,211384,Jackie Speier,democrat,266823,CA
"CA, 15",2018,California,15,177989,Eric Swalwell,democrat,243929,CA
"CA, 16",2018,California,16,82266,Jim Costa,democrat,142959,CA
