state_district,year,state,district,candidatevotes,candidate,party,totalvotes,state_po
AK - 0,2014,Alaska,0,142572,Don Young,republican,279741,AK
AL - 1,2014,Alabama,1,103758,Bradley Byrne,republican,152234,AL
AL - 2,2014,Alabama,2,113103,Martha Roby,republican,167952,AL
AL - 3,2014,Alabama,3,103558,Mike Rogers,republican,156620,AL
AL - 4,2014,Alabama,4,132831,Robert B. Aderholt,republican,134752,AL
AL - 5,2014,Alabama,5,115338,Mo Brooks,republican,154974,AL
AL - 6,2014,Alabama,6,135945,Gary Palmer,republican,178449,AL
AL - 7,2014,Alabama,7,133687,Terri A. Sewell,democrat,135899,AL
AR - 1,2014,Arkansas,1,124139,Eric A. Rick Crawford,republican,196256,AR
AR - 2,2014,Arkansas,2,123073,French Hill,republican,237330,AR
AR - 3,2014,Arkansas,3,151630,Steve Womack,republican,190935,AR
AR - 4,2014,Arkansas,4,110789,Bruce Westerman,republican,206131,AR
AZ - 1,2014,Arizona,1,97391,Ann Kirkpatrick,democrat,185114,AZ
AZ - 2,2014,Arizona,2,109704,Martha McSally,republican,219351,AZ
AZ - 3,2014,Arizona,3,58192,Ra_l M. Grijalva,democrat,104428,AZ
AZ - 4,2014,Arizona,4,122560,Paul A. Gosar,republican,175179,AZ
AZ - 5,2014,Arizona,5,124867,Matt Salmon,republican,179463,AZ
AZ - 6,2014,Arizona,6,129578,David Schweikert,republican,199776,AZ
AZ - 7,2014,Arizona,7,54235,Ruben Gallego,democrat,72454,AZ
AZ - 8,2014,Arizona,8,128710,Trent Franks,republican,169776,AZ
AZ - 9,2014,Arizona,9,88609,Kyrsten Sinema,democrat,162062,AZ
CA - 1,2014,California,1,132052,Doug LaMalfa,republican,216372,CA
CA - 10,2014,California,10,70582,Jeff Denhem,republican,125705,CA
CA - 11,2014,California,11,117502,Mark DeSaulnier,democrat,174662,CA
CA - 12,2014,California,12,160067,Nancy Pelosi,democrat,192264,CA
CA - 13,2014,California,13,168491,Barbara Lee,democrat,190431,CA
CA - 14,2014,California,14,114389,Jackie Speier,democrat,149146,CA
CA - 15,2014,California,15,99756,Eric Swalwell,democrat,142906,CA
CA - 16,2014,California,16,46277,Jim Costa,democrat,91220,CA
CA - 17,2014,California,17,69561,Michael M. Honda,democrat,134408,CA
CA - 18,2014,California,18,133060,Anna G. Eshoo,democrat,196386,CA
CA - 19,2014,California,19,85888,Zoe Lofgren,democrat,127788,CA
CA - 2,2014,California,2,163124,Jared Huffman,democrat,217524,CA
CA - 20,2014,California,20,106034,Sam Farr,democrat,141044,CA
CA - 21,2014,California,21,45907,David G. Valadao,republican,79377,CA
CA - 22,2014,California,22,96053,Devin Nunes,republican,133342,CA
CA - 23,2014,California,23,100317,Kevin McCarthy,republican,134043,CA
CA - 24,2014,California,24,103228,Lois Capps,democrat,198794,CA
CA - 25,2014,California,25,60847,Steve Knight,republican,114072,CA
CA - 26,2014,California,26,87176,Julia Brownley,democrat,169829,CA
CA - 27,2014,California,27,75728,Judy Chu,democrat,127580,CA
CA - 28,2014,California,28,91996,Adam B. Schiff,democrat,120264,CA
CA - 29,2014,California,29,50096,Tony C_rdenas,democrat,67141,CA
CA - 3,2014,California,3,79224,John Garamendi,democrat,150260,CA
CA - 30,2014,California,30,86568,Brad Sherman,democrat,131883,CA
CA - 31,2014,California,31,51622,Pete Aguilar,democrat,99784,CA
CA - 32,2014,California,32,50353,Grace F. Napolitano,democrat,84406,CA
CA - 33,2014,California,33,108331,Ted Lieu,democrat,183031,CA
CA - 34,2014,California,34,44697,Xavier Becerra,democrat,61621,CA
CA - 35,2014,California,35,39502,Norma J. Torres,democrat,62255,CA
CA - 36,2014,California,36,72682,Raul Ruiz,democrat,134139,CA
CA - 37,2014,California,37,96787,Karen Bass,democrat,114838,CA
CA - 38,2014,California,38,58192,Linda T. S_nchez,democrat,98480,CA
CA - 39,2014,California,39,91319,Edward R. Royce,republican,133225,CA
CA - 4,2014,California,4,126784,Tom McClintock,republican,211134,CA
CA - 40,2014,California,40,30208,Lucille Roybal-Allard,democrat,49379,CA
CA - 41,2014,California,41,46948,Mark Takano,democrat,82884,CA
CA - 42,2014,California,42,74540,Ken Calvert,republican,113390,CA
CA - 43,2014,California,43,69681,Maxine Waters,democrat,98202,CA
CA - 44,2014,California,44,59670,Janice Hahn,democrat,68862,CA
CA - 45,2014,California,45,106083,Mimi Walters,republican,162902,CA
CA - 46,2014,California,46,49738,Loretta Sanchez,democrat,83315,CA
CA - 47,2014,California,47,69091,Alan S. Lowenthal,democrat,123400,CA
CA - 48,2014,California,48,112082,Dana Rohracher,republican,174795,CA
CA - 49,2014,California,49,98161,Darrell E. Issa,republican,163142,CA
CA - 5,2014,California,5,129613,Mike Thompson,democrat,171148,CA
CA - 50,2014,California,50,111997,Duncan Hunter,republican,157299,CA
CA - 51,2014,California,51,56373,Juan Vargas,democrat,81950,CA
CA - 52,2014,California,52,98826,Scott H. Peters,democrat,191572,CA
CA - 53,2014,California,53,87104,Susan A. Davis,democrat,148044,CA
CA - 6,2014,California,6,97008,Doris O. Matsui,democrat,133456,CA
CA - 7,2014,California,7,92521,Ami Bera,democrat,183587,CA
CA - 8,2014,California,8,77480,Paul Cook,republican,114536,CA
CA - 9,2014,California,9,63475,Jerry McNerney,democrat,121204,CA
CO - 1,2014,Colorado,1,183281,Diana DeGette,democrat,278494,CO
CO - 2,2014,Colorado,2,196300,Jared Polis,democrat,345945,CO
CO - 3,2014,Colorado,3,163011,Scott R. Tipton,republican,281141,CO
CO - 4,2014,Colorado,4,185292,Ken Buck,republican,286507,CO
CO - 5,2014,Colorado,5,157182,Doug Lamborn,republican,262855,CO
CO - 6,2014,Colorado,6,143467,Mike Coffman,republican,276440,CO
CO - 7,2014,Colorado,7,148225,Ed Perlmutter,democrat,269143,CO
CT - 1,2014,Connecticut,1,127430,John B. Larson,democrat,217881,CT
CT - 2,2014,Connecticut,2,131294,Joe Courtney,democrat,227936,CT
CT - 3,2014,Connecticut,3,130009,Rosa L. DeLauro,democrat,209939,CT
CT - 4,2014,Connecticut,4,101401,James A. Himes,democrat,198800,CT
CT - 5,2014,Connecticut,5,106256,Elizabeth H. Esty,democrat,213301,CT
DE - 0,2014,Delaware,0,137251,"John C. Carney, Jr.",democrat,231617,DE
FL - 1,2014,Florida,1,165086,Jeff Miller,republican,235343,FL
FL - 10,2014,Florida,10,143128,Daniel Webster,republican,232574,FL
FL - 11,2014,Florida,11,181508,Richard B. Nugent,republican,272294,FL
FL - 12,2014,Florida,12,1,Gus M. Bilirakis,republican,1,FL
FL - 13,2014,Florida,13,168172,David W. Jolly,republican,223576,FL
FL - 14,2014,Florida,14,1,Kathy Castor,democrat,1,FL
FL - 15,2014,Florida,15,128750,Dennis A. Ross,republican,213582,FL
FL - 16,2014,Florida,16,169126,Vern Buchanan,republican,274829,FL
FL - 17,2014,Florida,17,141493,Thomas J. Rooney,republican,223756,FL
FL - 18,2014,Florida,18,151478,Patrick Murphy,democrat,253374,FL
FL - 19,2014,Florida,19,159354,Curt Clawson,republican,246861,FL
FL - 2,2014,Florida,2,126096,Gwen Graham,democrat,249780,FL
FL - 20,2014,Florida,20,128498,Alcee L. Hastings,democrat,157466,FL
FL - 21,2014,Florida,21,153395,Theodore E. Deutch,democrat,153970,FL
FL - 22,2014,Florida,22,125404,Lois Frankel,democrat,216096,FL
FL - 23,2014,Florida,23,103269,Debbie Wasserman Schultz,democrat,164788,FL
FL - 24,2014,Florida,24,129192,Frederica S. Wilson,democrat,149918,FL
FL - 25,2014,Florida,25,1,Mario Diaz-Balart,republican,1,FL
FL - 26,2014,Florida,26,83031,Carlos Curbelo,republican,161337,FL
FL - 27,2014,Florida,27,1,Ileana Ros-Lehtinen,republican,1,FL
FL - 3,2014,Florida,3,148691,Ted S. Yoho,republican,228809,FL
FL - 4,2014,Florida,4,177887,Ander Crenshaw,republican,227253,FL
FL - 5,2014,Florida,5,112340,Corrine Brown,democrat,171577,FL
FL - 6,2014,Florida,6,166254,Ron DeSantis,republican,265817,FL
FL - 7,2014,Florida,7,144474,John L. Mica,republican,227164,FL
FL - 8,2014,Florida,8,180728,Bill Posey,republican,274513,FL
FL - 9,2014,Florida,9,93850,Alan Grayson,democrat,173878,FL
GA - 1,2014,Georgia,1,95337,E. L. Buddy Carter,republican,156512,GA
GA - 10,2014,Georgia,10,130703,Jody B. Hice,republican,196480,GA
GA - 11,2014,Georgia,11,161532,Barry D. Loudermilk,republican,161532,GA
GA - 12,2014,Georgia,12,91336,R. W. Rick Allen,republican,166814,GA
GA - 13,2014,Georgia,13,159445,David Scott,democrat,159445,GA
GA - 14,2014,Georgia,14,118782,Tom Graves,republican,118782,GA
GA - 2,2014,Georgia,2,96363,Sanford D. Bishop Jr.,democrat,162900,GA
GA - 3,2014,Georgia,3,156277,Lynn A. Westmoreland,republican,156277,GA
GA - 4,2014,Georgia,4,161211,Henry C. Hank Johnson Jr.,democrat,161320,GA
GA - 5,2014,Georgia,5,170326,John Lewis,democrat,170326,GA
GA - 6,2014,Georgia,6,139018,Tom Price,republican,210504,GA
GA - 7,2014,Georgia,7,113557,Rob Woodall,republican,173669,GA
GA - 8,2014,Georgia,8,129938,Austin Scott,republican,130057,GA
GA - 9,2014,Georgia,9,146059,Doug Collins,republican,181047,GA
HI - 1,2014,Hawaii,1,93390,Mark Takai,democrat,182268,HI
HI - 2,2014,Hawaii,2,142010,Tulsi Gabbard,democrat,187435,HI
IA - 1,2014,Iowa,1,147762,Rod Blum,republican,289306,IA
IA - 2,2014,Iowa,2,143431,David Loebsack,democrat,273329,IA
IA - 3,2014,Iowa,3,148814,David Young,republican,282066,IA
IA - 4,2014,Iowa,4,169834,Steve King,republican,275633,IA
ID - 1,2014,Idaho,1,143580,Ra_l R. Labrador,republican,220864,ID
ID - 2,2014,Idaho,2,131492,Michael K. Simpson,republican,214293,ID
IL - 1,2014,Illinois,1,162268,Bobby L. Rush,democrat,222017,IL
IL - 10,2014,Illinois,10,95992,Robert Dold,republican,187128,IL
IL - 11,2014,Illinois,11,93436,Bill Foster,democrat,174772,IL
IL - 12,2014,Illinois,12,110038,Mike Bost,republican,209738,IL
IL - 13,2014,Illinois,13,123337,Rodney Davis,republican,210272,IL
IL - 14,2014,Illinois,14,145369,Randy Hultgren,republican,222230,IL
IL - 15,2014,Illinois,15,166274,John Shimkus,republican,221926,IL
IL - 16,2014,Illinois,16,153388,Adam Kinzinger,republican,217198,IL
IL - 17,2014,Illinois,17,110560,Cheri Bustos,democrat,199361,IL
IL - 18,2014,Illinois,18,184363,Aaron Schock,republican,246740,IL
IL - 2,2014,Illinois,2,160337,Robin L. Kelly,democrat,204266,IL
IL - 3,2014,Illinois,3,116764,Daniel Lipinski,democrat,180855,IL
IL - 4,2014,Illinois,4,79666,Luis V. Guti_rrez,democrat,101944,IL
IL - 5,2014,Illinois,5,116364,Mike Quigley,democrat,184019,IL
IL - 6,2014,Illinois,6,160287,Peter J. Roskam,republican,238752,IL
IL - 7,2014,Illinois,7,155110,Danny K. Davis,democrat,182278,IL
IL - 8,2014,Illinois,8,84178,Tammy Duckworth,democrat,151056,IL
IL - 9,2014,Illinois,9,141000,Janice D. Schakowsky,democrat,213450,IL
IN - 1,2014,Indiana,1,86579,Peter J. Visclosky,democrat,142293,IN
IN - 2,2014,Indiana,2,85583,Jackie Walorski,republican,145200,IN
IN - 3,2014,Indiana,3,97892,Marlin A. Stutzman,republican,148793,IN
IN - 4,2014,Indiana,4,94998,Todd Rokita,republican,142054,IN
IN - 5,2014,Indiana,5,105277,Susan W. Brooks,republican,161440,IN
IN - 6,2014,Indiana,6,102187,Luke Messer,republican,155071,IN
IN - 7,2014,Indiana,7,61443,Andr_ Carson,democrat,112261,IN
IN - 8,2014,Indiana,8,103344,Larry Bucshon,republican,171315,IN
IN - 9,2014,Indiana,9,101594,Todd C. Young,republican,163387,IN
KS - 1,2014,Kansas,1,138764,Tim Huelskamp,republican,204161,KS
KS - 2,2014,Kansas,2,128742,Lynn Jenkins,republican,225686,KS
KS - 3,2014,Kansas,3,134493,Kevin Yoder,republican,224077,KS
KS - 4,2014,Kansas,4,138757,Mike Pompeo,republican,208153,KS
KY - 1,2014,Kentucky,1,173022,Ed Whitfield,republican,236618,KY
KY - 2,2014,Kentucky,2,156936,Brett Guthrie,republican,226834,KY
KY - 3,2014,Kentucky,3,157056,John A. Yarmuth,democrat,247355,KY
KY - 4,2014,Kentucky,4,150464,Thomas Massie,republican,222158,KY
KY - 5,2014,Kentucky,5,171350,Harold Rogers,republican,218967,KY
KY - 6,2014,Kentucky,6,147404,Andy Barr,republican,245694,KY
LA - 1,2014,Louisiana,1,189250,Steve Scalise,republican,244004,LA
LA - 2,2014,Louisiana,2,152201,Cedric L. Richmond,democrat,221570,LA
LA - 3,2014,Louisiana,3,185867,Charles W. Boustany Jr.,republican,236268,LA
LA - 4,2014,Louisiana,4,152683,John Fleming,republican,207919,LA
LA - 5,2014,Louisiana,5,134616,Ralph Lee Abraham,republican,326073,LA
LA - 6,2014,Louisiana,6,139209,Garret Graves,republican,332888,LA
MA - 1,2014,Massachusetts,1,167612,Richard E. Neal,democrat,227075,MA
MA - 2,2014,Massachusetts,2,169640,James P. McGovern,democrat,235813,MA
MA - 3,2014,Massachusetts,3,139104,Niki Tsongas,democrat,230789,MA
MA - 4,2014,Massachusetts,4,184158,Joseph P. Kennedy III,democrat,255297,MA
MA - 5,2014,Massachusetts,5,182100,Katherine M. Clark,democrat,256486,MA
MA - 6,2014,Massachusetts,6,149638,Seth W. Moulton,democrat,278919,MA
MA - 7,2014,Massachusetts,7,142133,Michael E. Capuano,democrat,176077,MA
MA - 8,2014,Massachusetts,8,200644,Stephen F. Lynch,democrat,261781,MA
MA - 9,2014,Massachusetts,9,140413,William R. Keating,democrat,264552,MA
MD - 1,2014,Maryland,1,176342,Andy Harris,republican,250418,MD
MD - 2,2014,Maryland,2,120412,C. A. Dutch Ruppersberger,democrat,196354,MD
MD - 3,2014,Maryland,3,128594,John P. Sarbanes,democrat,215946,MD
MD - 4,2014,Maryland,4,134628,Donna F. Edwards,democrat,191837,MD
MD - 5,2014,Maryland,5,144725,Steny H. Hoyer,democrat,226040,MD
MD - 6,2014,Maryland,6,94704,John K. Delaney,democrat,190536,MD
MD - 7,2014,Maryland,7,144639,Elijah E. Cummings,democrat,206809,MD
MD - 8,2014,Maryland,8,136722,Chris Van Hollen,democrat,225097,MD
ME - 1,2014,Maine,1,186674,Chellie Pingree,democrat,321987,ME
ME - 2,2014,Maine,2,133320,Bruce Poliquin,republican,295009,ME
MI - 1,2014,Michigan,1,130414,Dan Benishek,republican,250131,MI
MI - 10,2014,Michigan,10,157069,Candice S. Miller,republican,228692,MI
MI - 11,2014,Michigan,11,140435,Dave Trott,republican,251238,MI
MI - 12,2014,Michigan,12,134346,Debbie Dingell,democrat,206660,MI
MI - 13,2014,Michigan,13,132710,John Conyers Jr.,democrat,166947,MI
MI - 14,2014,Michigan,14,165272,Brenda Lawrence,democrat,212468,MI
MI - 2,2014,Michigan,2,135568,Bill Huizenga,republican,213072,MI
MI - 3,2014,Michigan,3,125754,Justin Amash,republican,217165,MI
MI - 4,2014,Michigan,4,123962,John Moolenaar,republican,219423,MI
MI - 5,2014,Michigan,5,148182,Daniel T. Kildee,democrat,222138,MI
