,state_fips,state
0,2,Alaska
5,1,Alabama
23,5,Arkansas
33,4,Arizona
59,6,California
165,8,Colorado
187,9,Connecticut
213,10,Delaware
217,12,Florida
287,13,Georgia
313,15,Hawaii
323,19,Iowa
338,16,Idaho
344,17,Illinois
386,18,Indiana
413,20,Kansas
427,21,Kentucky
438,22,Louisiana
476,25,Massachusetts
512,24,Maryland
553,23,Maine
561,26,Michigan
623,27,Minnesota
650,29,Missouri
679,28,Mississippi
695,30,Montana
698,37,North Carolina
725,38,North Dakota
729,31,Nebraska
735,33,New Hampshire
747,34,New Jersey
800,35,New Mexico
807,32,Nevada
823,36,New York
1034,39,Ohio
1078,40,Oklahoma
1090,41,Oregon
1110,42,Pennsylvania
1145,44,Rhode Island
1153,45,South Carolina
1186,46,South Dakota
1188,47,Tennessee
1219,48,Texas
1323,49,Utah
1335,51,Virginia
1370,50,Vermont
1375,53,Washington
1395,55,Wisconsin
1426,54,West Virginia
1433,56,Wyoming
